U,V,W,U_x,U_y,U_z,V_x,V_y,V_z,W_x,W_y,W_Z,UU,UV,UW,VV,VW,WW
1.326039195,-9.582308121e-05,0.0004446795501,0.0,-0.1280820668,0.1121787652,0.0,0.003155422863,-2.984496496e-05,0.0,-0.0002609635412,-0.0008230998646,0.00363053265,-0.0002756415342,0.0002806446573,0.002151502995,2.269459765e-05,0.002171959728
1.327713966,-6.86128551e-05,0.0004352940014,0.0,-0.1288501024,0.06874240935,0.0,0.005064592231,0.001116866828,0.0,-0.002140909899,-0.0003852377995,0.00351819396,-7.78725007e-05,0.0002797245979,0.00214057276,4.140800684e-06,0.002147084335
0.03717858717,1.993618298e-06,-2.757754555e-05,0.0,-0.02104960009,24.66993713,0.0,4.76488749e-05,0.004283858463,0.0,-0.001992020989,-0.01278679818,0.0002216345456,-9.693512766e-07,2.85727765e-06,6.350720128e-08,2.569915836e-08,5.399608563e-05
0.1126189232,1.509359936e-05,-6.667940033e-05,0.0,-0.06713756919,24.433424,0.0,0.0004109431175,0.006076563615,0.0,-0.006293626968,-0.008574345149,0.001782876789,-1.945280201e-05,2.05648339e-05,2.157521521e-06,4.624004646e-07,0.0003522319603
0.1900832206,4.002081914e-05,-8.123589214e-05,0.0,-0.1132699549,23.74240875,0.0,0.001139258151,0.0111990273,0.0,-0.010515715,-0.008479963988,0.005044158548,-9.446287731e-05,5.07917066e-05,1.322309072e-05,1.936248736e-06,0.0008033814956
0.268060565,8.841367526e-05,-0.0001221977582,0.0,-0.1551671475,22.74878693,0.0,0.002112323651,0.01460419782,0.0,-0.01454886887,-0.005390834063,0.009613098577,-0.0002472928027,9.17346697e-05,3.932766413e-05,5.098970178e-06,0.001298634219
0.3458894491,0.0001400448382,-0.0001181576663,0.0,-0.1971906126,21.36926842,0.0,0.003483866109,0.01914329641,0.0,-0.01891679876,-0.005488032941,0.01508881338,-0.0004929649294,0.0001311965607,8.673839329e-05,9.531164324e-06,0.001807273482
0.421171695,0.0002255756699,-0.0001615195943,0.0,-0.2336539626,19.68470764,0.0,0.005099991336,0.02338212356,0.0,-0.02331929281,-0.008668024093,0.02071882971,-0.0008130709175,0.0001749973162,0.0001578877564,1.637325295e-05,0.002297488507
0.4934260547,0.0003152935242,-0.0001831243862,0.0,-0.2607780397,17.74999428,0.0,0.006895102561,0.02646083385,0.0,-0.0272643771,-0.01000520587,0.02598672174,-0.001191102783,0.0002111508657,0.0002555076499,2.416320422e-05,0.002775348257
0.5603672266,0.0004330816446,-0.0002399804653,0.0,-0.2793839574,15.47462082,0.0,0.008756436408,0.03239989281,0.0,-0.03118799813,-0.01880412363,0.03029262275,-0.00159574789,0.0002424073027,0.0003822197614,3.366113378e-05,0.003229581751
0.620380044,0.0005811026786,-0.0003373936634,0.0,-0.289355278,13.40739727,0.0,0.01076474972,0.03432227299,0.0,-0.03516382724,-0.01902712323,0.03325597197,-0.001987825381,0.000266502524,0.0005393959582,4.447315951e-05,0.003653971711
0.6754158735,0.0007276004762,-0.0004032518773,0.0,-0.2915353477,11.72784233,0.0,0.01273088157,0.03761129081,0.0,-0.03826883808,-0.02219851688,0.03511543199,-0.002352491254,0.0002832296013,0.0007227684255,5.522527863e-05,0.004057562444
0.7256727219,0.0009187771939,-0.0005366921541,0.0,-0.2890529931,10.11623287,0.0,0.01507216599,0.04231721163,0.0,-0.04186432064,-0.02820944414,0.03613973781,-0.00268785283,0.0002963042061,0.0009270233568,6.675922486e-05,0.004436695017
0.7704377174,0.001125086332,-0.0006682233652,0.0,-0.2820285857,8.473209381,0.0,0.01727978885,0.04385913536,0.0,-0.04474649951,-0.02668796666,0.03620887175,-0.002976052696,0.0003053898108,0.001153622987,7.726468903e-05,0.004781837575
